Disease,Category,Severity,Symptoms,Additional_Symptoms,Risk_Factors
Varicose Veins,Vascular,Mild,"Dark purple or blue twisted bulging veins visible under skin, aching heavy legs","Burning throbbing itching around veins, swelling, skin ulcers in severe cases","Age, female sex, pregnancy, obesity, prolonged standing, family history"
Lymphedema,Vascular,Moderate,"Swelling in arm or leg, feeling of heaviness or tightness, restricted range of motion","Aching or discomfort, recurring infections, hardening or thickening of skin","Cancer treatment, lymph node removal, infection, obesity, venous insufficiency"
Osteoarthritis,Musculoskeletal,Moderate,"Joint pain worsening with activity, stiffness especially in morning, grating sensation","Loss of flexibility, bone spurs, swelling, joint tenderness","Age over 50, obesity, joint injury, repetitive stress, family history, female sex"
Tendinitis,Musculoskeletal,Mild to Moderate,"Pain and tenderness near a joint, worsens with movement, mild swelling","Warmth around joint, reduced range of motion, pain at night","Repetitive motion, sudden increase in activity, age, poor posture, diabetes"
Bursitis,Musculoskeletal,Mild to Moderate,"Achy or stiff joint, pain worsens with movement or pressure, swelling and redness","Warmth around joint, limited range of motion, fever if infected","Repetitive motions, prolonged pressure, joint injury, gout, rheumatoid arthritis"
Carpal Tunnel Syndrome,Musculoskeletal,Mild to Moderate,"Numbness and tingling in hand and arm, weakness in hand, pain radiating to arm","Electric shock-like sensations, dropping objects, symptoms worse at night","Repetitive hand motions, female sex, diabetes, obesity, pregnancy, wrist anatomy"
Plantar Fasciitis,Musculoskeletal,Mild to Moderate,"Sharp heel pain especially with first steps in morning, pain after long periods of standing","Tenderness along arch of foot, stiffness, difficulty climbing stairs","Age 40-60, obesity, occupations requiring standing, flat feet or high arches"
Chronic Fatigue Syndrome,Neurological,Moderate to Severe,"Extreme fatigue not improved by rest, worsening symptoms after physical activity, sleep problems","Cognitive difficulties, headaches, sore throat, swollen lymph nodes, muscle pain","Viral infections, immune dysfunction, hormonal imbalances, psychological stress"
Vertigo,Neurological,Mild to Moderate,"Sensation of spinning or motion when still, nausea and vomiting, balance problems","Hearing loss, ringing in ears, headache, abnormal eye movements, sweating","Inner ear disorders, head injury, migraines, certain medications, Meniere's disease"
Bell's Palsy,Neurological,Moderate,"Sudden weakness or paralysis on one side of face, drooping of mouth or eyelid","Drooling, dry eye, loss of taste, headache, sensitivity to sound, facial pain","Viral infection especially herpes, diabetes, pregnancy, age 15-60"
Trigeminal Neuralgia,Neurological,Moderate to Severe,"Sudden severe facial pain like electric shock, triggered by touch or chewing","Brief attacks lasting seconds to minutes, facial muscle spasms, pain in jaw or cheek","Age over 50, female sex, multiple sclerosis, blood vessel compression of nerve"
Narcolepsy,Neurological,Moderate,"Excessive daytime sleepiness, sudden muscle weakness triggered by emotion (cataplexy)","Sleep paralysis, hallucinations when falling asleep, disrupted nighttime sleep","Hypocretin deficiency, autoimmune factors, brain injury, family history"
